数据排序	年月日	时分	PM1.0(标)	PM2.5(标)	PM10(标)	PM1.0(气)	PM2.5(气)	PM10(气)	电压	Column1
2970	20-11-15	16-24	20	31	33	20	31	33	4.07	
2971	20-11-15	16-30	19	30	32	19	30	32	4.08	
2972	20-11-15	16-35	20	30	32	20	30	32	4.07	
2973	20-11-15	16-41	19	30	35	19	30	35	4.07	
2974	20-11-15	16-46	22	30	33	22	30	33	4.06	
2975	20-11-15	16-52	22	31	35	22	31	35	4.07	
2976	20-11-15	16-57	20	29	31	20	29	31	4.06	
2977	20-11-15	17-3	19	30	34	19	30	34	4.06	
2978	20-11-15	17-8	20	30	34	20	30	34	4.07	
2979	20-11-15	17-14	20	30	31	20	30	31	4.06	
2980	20-11-15	17-19	19	28	33	19	28	33	4.06	
2981	20-11-15	17-25	22	32	34	22	32	34	4.06	
2982	20-11-15	17-31	23	33	33	23	33	33	4.06	
2983	20-11-15	17-36	20	32	34	20	32	34	4.06	
2984	20-11-15	17-42	22	36	36	22	36	36	4.06	
2985	20-11-15	17-47	22	32	33	22	32	33	4.06	
2986	20-11-15	17-53	22	33	36	22	33	36	4.06	
2987	20-11-15	17-58	20	32	36	20	32	36	4.06	
2988	20-11-15	18-4	27	37	39	25	37	39	4.06	
2989	20-11-15	18-9	23	35	36	23	35	36	4.06	
2990	20-11-15	18-15	24	36	38	24	36	38	4.07	
2991	20-11-15	18-20	23	34	36	23	34	36	4.05	
2992	20-11-15	18-26	24	36	39	24	36	39	4.05	
2993	20-11-15	18-31	24	36	39	24	36	39	4.05	
2994	20-11-15	18-37	24	34	38	24	34	38	4.05	
2995	20-11-15	18-42	22	34	36	22	34	36	4.04	
2996	20-11-15	18-48	23	30	34	23	30	34	4.05	
2997	20-11-15	18-54	22	34	35	22	34	35	4.04	
2998	20-11-15	18-59	24	38	43	24	37	43	4.04	
2999	20-11-15	19-5	23	34	39	23	34	39	4.04	
3000	20-11-15	19-10	22	31	34	22	31	34	4.04	
3001	20-11-15	19-16	20	30	31	20	30	31	4.04	
3002	20-11-15	19-21	20	29	33	20	29	33	4.05	
3003	20-11-15	19-27	19	33	35	19	33	35	4.05	
3004	20-11-15	19-32	22	35	40	22	35	40	4.05	
3005	20-11-15	19-38	20	29	30	20	29	30	4.04	
3006	20-11-15	19-43	18	28	29	18	28	29	4.04	
3007	20-11-15	19-49	24	36	39	24	36	39	4.03	
3008	20-11-15	19-54	22	34	36	22	34	36	4.02	
3009	20-11-15	20-0	23	36	39	23	36	39	4.02	
3010	20-11-15	20-5	22	33	35	22	33	35	4.04	
3011	20-11-15	20-11	20	28	39	20	28	39	4.04	
3012	20-11-15	20-16	22	33	39	22	33	39	4.03	
3013	20-11-15	20-22	19	30	30	19	30	30	4.04	
3014	20-11-15	20-28	20	29	30	20	29	30	4.04	
3015	20-11-15	20-33	19	29	29	19	29	29	4.04	
3016	20-11-15	20-39	18	28	29	18	28	29	4.05	
3017	20-11-15	20-44	18	28	36	18	28	36	4.03	
3018	20-11-15	20-50	18	29	30	18	29	30	4.01	
3019	20-11-15	20-55	19	28	31	19	28	31	4.03	
3020	20-11-15	21-1	19	30	34	19	30	34	4.04	
3021	20-11-15	21-6	17	25	29	17	25	29	4.03	
3022	20-11-15	21-12	22	28	29	22	28	29	4.03	
3023	20-11-15	21-17	20	29	30	20	29	30	4.03	
3024	20-11-15	21-23	20	30	35	20	30	35	4.04	
3025	20-11-15	21-28	21	30	32	21	30	32	4.03	
3026	20-11-15	21-34	20	30	32	20	30	32	4.03	
3027	20-11-15	21-39	20	31	32	20	31	32	4.03	
3028	20-11-15	21-45	22	31	31	22	31	31	4.04	
3029	20-11-15	21-51	21	34	40	21	34	40	4.03	
3030	20-11-15	21-56	19	28	28	19	28	28	4.03	
3031	20-11-15	22-2	18	27	30	18	27	30	4.02	
3032	20-11-15	22-7	20	30	32	20	30	32	4.03	
3033	20-11-15	22-13	21	32	33	21	32	33	4.03	
3034	20-11-15	22-18	20	30	33	20	30	33	4.02	
3035	20-11-15	22-24	20	33	37	20	33	37	4.02	
3036	20-11-15	22-29	18	26	32	18	26	32	4.02	
3037	20-11-15	22-35	18	28	32	18	28	32	4.02	
3038	20-11-15	22-40	19	27	30	19	27	30	4.02	
3039	20-11-15	22-46	22	37	42	22	36	42	4.02	
3040	20-11-15	22-51	24	34	38	24	34	38	4.02	
3041	20-11-15	22-57	21	32	42	21	32	42	4.02	
3042	20-11-15	23-2	21	36	37	21	36	37	4.02	
3043	20-11-15	23-8	25	39	45	24	38	45	4.02	
3044	20-11-15	23-14	26	40	44	25	38	44	4.01	
3045	20-11-15	23-19	28	39	48	26	38	48	4.02	
3046	20-11-15	23-25	26	39	45	25	38	45	4.02	
3047	20-11-15	23-30	31	49	51	27	43	51	4.01	
3048	20-11-15	23-36	30	44	53	27	40	53	4.02	
3049	20-11-15	23-41	32	49	56	28	43	55	4.01	
3050	20-11-15	23-47	25	35	39	23	35	39	4	
3051	20-11-15	23-52	21	34	35	21	34	35	4.01	
3052	20-11-15	23-58	22	33	34	22	33	34	4.03	
3053	20-11-16	0-3	21	28	29	21	28	29	4.02	
3054	20-11-16	0-9	22	33	35	22	33	35	3.99	
3055	20-11-16	0-14	18	29	30	18	29	30	4.01	
3056	20-11-16	0-20	17	25	30	17	25	30	3.99	
3057	20-11-16	0-25	18	25	26	18	25	26	4.02	
3058	20-11-16	0-31	28	48	54	25	42	52	4.01	
3059	20-11-16	0-36	25	37	39	24	36	39	4.01	
3060	20-11-16	0-42	26	37	40	25	36	40	4.01	
3061	20-11-16	0-48	26	39	48	25	37	48	4.01	
3062	20-11-16	0-53	23	35	38	23	35	38	4.01	
3063	20-11-16	0-59	26	40	46	25	38	46	4.01	
3064	20-11-16	1-4	26	39	43	25	37	43	4.01	
3065	20-11-16	1-10	32	48	50	28	42	50	4.02	
3066	20-11-16	1-15	24	35	42	23	35	42	4.01	
3067	20-11-16	1-21	31	43	45	28	39	45	4	
3068	20-11-16	1-26	28	39	44	25	37	44	4.01	
3069	20-11-16	1-32	26	39	39	25	37	39	4	
3070	20-11-16	1-37	29	45	53	26	40	52	3.98	
3071	20-11-16	1-43	26	45	50	25	40	50	4	
3072	20-11-16	1-48	28	43	49	25	39	49	4.01	
3073	20-11-16	1-54	29	46	52	26	42	52	4	
3074	20-11-16	1-59	30	44	51	26	40	51	4	
3075	20-11-16	2-5	29	43	52	26	39	52	4.01	
3076	20-11-16	2-11	28	44	48	25	40	48	4.01	
3077	20-11-16	2-16	28	47	52	25	42	52	4	
3078	20-11-16	2-22	30	47	51	27	42	51	4.01	
3079	20-11-16	2-27	29	48	51	27	42	51	4.01	
3080	20-11-16	2-33	28	43	47	25	40	47	4.01	
3081	20-11-16	2-38	29	47	50	27	42	50	4.01	
3082	20-11-16	2-44	28	47	49	26	42	49	4	
3083	20-11-16	2-49	28	46	50	26	41	50	4.01	
3084	20-11-16	2-55	28	45	54	26	41	53	4.01	
3085	20-11-16	3-0	28	45	52	26	41	52	4	
3086	20-11-16	3-6	27	45	52	26	41	52	4	
3087	20-11-16	3-11	28	46	57	26	41	55	3.98	
3088	20-11-16	3-17	28	45	52	26	41	52	4.02	
3089	20-11-16	3-22	30	49	55	27	43	54	4	
3090	20-11-16	3-28	29	45	53	27	41	53	3.99	
3091	20-11-16	3-34	27	44	47	26	40	47	4	
3092	20-11-16	3-39	27	45	51	26	41	51	4	
3093	20-11-16	3-45	27	44	47	26	40	47	4	
3094	20-11-16	3-50	27	45	58	26	41	55	4	
3095	20-11-16	3-56	28	44	51	26	40	51	4	
3096	20-11-16	4-1	27	41	49	26	39	49	4	
3097	20-11-16	4-7	27	44	51	26	40	51	4	
3098	20-11-16	4-12	26	44	47	25	40	47	4.01	
3099	20-11-16	4-18	27	45	51	26	41	51	4	
3100	20-11-16	4-23	29	47	51	27	43	51	4	
3101	20-11-16	4-29	25	38	44	23	37	44	3.99	
3102	20-11-16	4-34	28	43	47	26	39	47	4	
3103	20-11-16	4-40	25	41	41	23	39	41	4	
3104	20-11-16	4-45	26	43	46	25	39	46	4	
3105	20-11-16	4-51	25	37	44	24	36	44	4	
3106	20-11-16	4-56	24	38	45	24	37	45	4	
3107	20-11-16	5-2	27	43	47	26	39	47	4	
3108	20-11-16	5-8	27	39	46	26	38	46	3.99	
3109	20-11-16	5-13	24	38	42	24	37	42	4	
3110	20-11-16	5-19	25	38	42	24	37	42	4	
3111	20-11-16	5-24	24	38	43	24	37	43	4	
3112	20-11-16	5-30	26	38	39	25	37	39	4	
3113	20-11-16	5-35	26	39	44	25	38	44	3.99	
3114	20-11-16	5-41	26	39	42	25	38	42	3.99	
3115	20-11-16	5-46	25	40	46	24	38	46	3.99	
3116	20-11-16	5-52	27	44	46	26	40	46	3.99	
3117	20-11-16	5-57	25	39	45	24	38	45	3.99	
3118	20-11-16	6-3	26	39	46	25	38	46	4	
3119	20-11-16	6-8	24	36	38	24	36	38	3.99	
3120	20-11-16	6-14	24	34	38	24	34	38	3.99	
3121	20-11-16	6-19	24	36	39	24	36	39	3.99	
3122	20-11-16	6-25	25	38	43	24	37	43	3.99	
3123	20-11-16	6-31	22	37	39	22	36	39	3.97	
3124	20-11-16	6-36	24	38	41	24	37	41	3.99	
3125	20-11-16	6-42	24	39	43	24	38	43	3.99	
3126	20-11-16	6-47	24	37	39	24	36	39	3.99	
3127	20-11-16	6-53	25	40	45	24	38	45	4	
3128	20-11-16	6-58	22	33	43	22	33	43	3.99	
3129	20-11-16	7-4	24	38	41	24	37	41	3.99	
3130	20-11-16	7-9	23	41	44	23	38	44	3.99	
3131	20-11-16	7-15	25	38	43	24	37	43	3.99	
3132	20-11-16	7-20	23	33	42	23	33	42	3.99	
3133	20-11-16	7-26	24	38	44	24	37	44	3.99	
3134	20-11-16	7-31	24	39	44	24	38	44	3.98	
3135	20-11-16	7-37	27	40	43	26	38	43	3.99	
3136	20-11-16	7-39	25	38	42	25	38	42	4.34	
3137	20-11-16	7-45	23	37	39	23	37	39	4.21	
3138	20-11-16	7-50	23	34	40	23	34	40	4.18	
3139	20-11-16	7-56	19	33	34	19	33	34	4.17	
3140	20-11-16	8-1	22	35	40	22	35	40	4.17	
3141	20-11-16	8-7	21	31	37	21	31	37	4.17	
3142	20-11-16	8-12	23	37	42	23	37	42	4.17	
3143	20-11-16	8-18	23	36	39	23	36	39	4.17	
3144	20-11-16	8-23	21	35	40	21	35	40	4.17	
3145	20-11-16	8-29	23	35	44	23	35	44	4.17	
3146	20-11-16	8-34	22	33	37	22	33	37	4.18	
3147	20-11-16	8-40	23	38	40	23	37	40	4.18	
3148	20-11-16	8-46	22	32	40	22	32	40	4.18	
3149	20-11-16	8-51	21	32	36	21	32	36	4.18	
3150	20-11-16	8-57	21	34	37	21	34	37	4.19	
3151	20-11-16	9-2	21	34	38	21	34	38	4.19	
3152	20-11-16	9-8	22	35	38	22	35	38	4.19	
3153	20-11-16	9-13	22	34	39	22	34	39	4.19	
3154	20-11-16	9-19	22	35	42	22	35	42	4.19	
3155	20-11-16	9-24	24	39	44	24	38	44	4.2	
3156	20-11-16	9-30	21	34	35	21	34	35	4.2	
3157	20-11-16	9-35	22	34	35	22	34	35	4.2	
3158	20-11-16	9-41	21	37	39	21	37	39	4.2	
3159	20-11-16	9-46	22	32	35	22	32	35	4.2	
3160	20-11-16	9-52	19	32	33	19	32	33	4.21	
3161	20-11-16	9-57	22	32	35	22	32	35	4.21	
3162	20-11-16	10-3	23	34	41	23	34	41	4.19	
3163	20-11-16	10-8	25	37	38	24	36	38	4.16	
3164	20-11-16	10-14	23	36	42	23	35	42	4.16	
3165	20-11-16	10-19	24	37	41	23	36	41	4.16	
3166	20-11-16	10-25	22	32	34	22	32	34	4.16	
3167	20-11-16	10-30	22	36	41	22	35	41	4.15	
3168	20-11-16	10-36	25	38	39	23	37	39	4.14	
3169	20-11-16	10-41	22	33	39	22	33	39	4.15	
3170	20-11-16	10-47	20	37	42	20	36	42	4.15	
3171	20-11-16	10-52	24	39	44	24	38	44	4.14	
3172	20-11-16	10-58	22	34	36	22	34	36	4.15	
3173	20-11-16	11-3	24	32	33	24	32	33	4.15	
3174	20-11-16	11-9	24	35	39	24	35	39	4.14	
3175	20-11-16	11-14	24	36	38	24	36	38	4.14	
3176	20-11-16	11-20	24	37	38	24	36	38	4.14	
3177	20-11-16	11-26	24	38	39	24	37	39	4.14	
3178	20-11-16	11-31	25	36	39	24	36	39	4.13	
3179	20-11-16	11-37	24	35	36	24	35	36	4.14	
3180	20-11-16	11-42	23	33	37	23	33	37	4.14	
3181	20-11-16	11-48	24	36	38	24	36	38	4.14	
3182	20-11-16	11-53	24	37	38	24	36	38	4.14	
3183	20-11-16	11-59	23	35	42	23	35	42	4.13	
3184	20-11-16	12-4	25	35	40	24	35	40	4.13	
3185	20-11-16	12-10	25	36	41	24	36	41	4.13	
3186	20-11-16	12-15	21	32	33	21	32	33	4.13	
3187	20-11-16	12-21	26	40	42	25	38	42	4.14	
3188	20-11-16	12-26	23	35	37	23	35	37	4.14	
3189	20-11-16	12-32	20	35	36	20	35	36	4.12	
3190	20-11-16	12-37	24	35	36	24	35	36	4.12	
3191	20-11-16	12-42	22	32	32	22	32	32	4.2	
3192	20-11-16	12-48	22	32	36	22	32	36	4.2	
3193	20-11-16	12-53	24	39	43	24	38	43	4.2	
3194	20-11-16	12-59	24	36	40	24	36	40	4.2	
3195	20-11-16	13-4	24	39	41	24	37	41	4.2	
3196	20-11-16	13-10	27	42	44	26	40	44	4.2	
3197	20-11-16	13-15	25	36	39	24	36	39	4.2	
3198	20-11-16	13-21	25	37	39	24	36	39	4.21	
3199	20-11-16	13-26	26	38	41	25	36	41	4.19	
3200	20-11-16	13-32	25	36	39	23	35	39	4.19	
3201	20-11-16	13-37	23	34	39	23	34	39	4.19	
3202	20-11-16	13-43	26	38	40	25	37	40	4.19	
3203	20-11-16	13-48	22	33	33	22	33	33	4.19	
3204	20-11-16	13-54	23	33	37	23	33	37	4.19	
3205	20-11-16	13-59	25	34	37	24	34	37	4.19	
3206	20-11-16	14-5	26	34	36	25	34	36	4.19	
3207	20-11-16	14-10	22	34	38	22	34	38	4.19	
3208	20-11-16	14-16	25	36	39	24	36	39	4.19	
3209	20-11-16	14-21	24	36	37	24	36	37	4.19	
3210	20-11-16	14-27	22	37	43	22	36	43	4.19	
3211	20-11-16	14-32	24	34	38	24	34	38	4.19	
3212	20-11-16	14-38	22	32	34	22	32	34	4.19	
3213	20-11-16	14-43	25	33	35	24	33	35	4.19	
3214	20-11-16	14-49	25	37	39	24	36	39	4.19	
3215	20-11-16	14-54	23	32	36	23	32	36	4.19	
3216	20-11-16	15-0	25	33	35	24	33	35	4.19	
3217	20-11-16	15-5	23	32	33	23	32	33	4.19	
3218	20-11-16	15-11	24	33	38	24	33	38	4.19	
3219	20-11-16	15-16	21	32	35	21	32	35	4.19	
3220	20-11-16	15-22	23	33	35	23	33	35	4.19	
3221	20-11-16	15-27	20	29	29	20	29	29	4.19	
3222	20-11-16	15-33	23	36	38	23	36	38	4.19	
3223	20-11-16	15-38	23	35	39	23	35	39	4.19	
3224	20-11-16	15-44	21	32	35	21	32	35	4.19	
3225	20-11-16	15-49	22	33	36	22	33	36	4.19	
3226	20-11-16	15-55	24	33	37	24	33	37	4.19	
3227	20-11-16	16-0	24	36	39	24	36	39	4.19	
3228	20-11-16	16-6	25	36	38	24	36	38	4.19	
3229	20-11-16	16-11	25	35	38	24	35	38	4.19	
3230	20-11-16	16-17	23	36	44	23	36	44	4.19	
3231	20-11-16	16-22	21	30	32	21	30	32	4.19	
3232	20-11-16	16-28	21	31	37	21	31	37	4.19	
3233	20-11-16	16-33	24	37	38	24	36	38	4.19	
3234	20-11-16	16-39	25	35	39	24	35	39	4.19	
3235	20-11-16	16-44	25	35	38	24	35	38	4.19	
3236	20-11-16	16-50	23	36	38	23	36	38	4.19	
3237	20-11-16	16-55	23	35	37	23	35	37	4.19	
3238	20-11-16	17-1	23	33	36	23	33	36	4.19	
3239	20-11-16	17-6	19	30	32	19	30	32	4.19	
3240	20-11-16	17-12	21	30	34	21	30	34	4.19	
3241	20-11-16	17-17	22	33	36	22	33	36	4.19	
3242	20-11-16	17-23	24	37	39	24	36	39	4.19	
3243	20-11-16	17-28	24	36	39	24	36	39	4.19	
3244	20-11-16	17-34	24	37	41	24	36	41	4.19	
3245	20-11-16	17-39	24	33	37	24	33	37	4.19	
3246	20-11-16	17-45	21	33	35	21	33	35	4.19	
3247	20-11-16	17-50	25	37	41	24	36	41	4.19	
3248	20-11-16	17-56	26	36	38	25	36	38	4.19	
3249	20-11-16	18-1	21	32	35	21	32	35	4.19	
3250	20-11-16	18-7	20	31	32	20	31	32	4.19	
3251	20-11-16	18-12	23	32	41	23	32	41	4.19	
3252	20-11-16	18-18	24	33	36	24	33	36	4.19	
3253	20-11-16	18-23	21	32	37	21	32	37	4.19	
3254	20-11-16	18-29	20	30	33	20	30	33	4.19	
3255	20-11-16	18-34	21	31	33	21	31	33	4.19	
3256	20-11-16	18-40	21	31	36	21	31	36	4.19	
3257	20-11-16	18-45	21	35	38	21	35	38	4.19	
3258	20-11-16	18-51	19	27	28	19	27	28	4.19	
3259	20-11-16	18-56	24	33	36	24	33	36	4.19	
3260	20-11-16	19-2	22	35	37	22	35	37	4.19	
3261	20-11-16	19-7	22	35	36	22	35	36	4.19	
3262	20-11-16	19-13	20	30	31	20	30	31	4.19	
3263	20-11-16	19-18	21	35	36	21	35	36	4.19	
3264	20-11-16	19-24	21	33	38	21	33	38	4.19	
3265	20-11-16	19-29	21	31	32	21	31	32	4.19	
3266	20-11-16	19-35	21	31	33	21	31	33	4.19	
3267	20-11-16	19-40	19	30	38	19	30	38	4.19	
3268	20-11-16	19-46	24	33	41	24	33	41	4.19	
3269	20-11-16	19-51	21	31	37	21	31	37	4.19	
3270	20-11-16	19-57	19	28	30	19	28	30	4.19	
3271	20-11-16	20-2	19	28	34	19	28	34	4.19	
3272	20-11-16	20-8	22	30	32	22	30	32	4.19	
3273	20-11-16	20-13	22	33	36	22	33	36	4.19	
3274	20-11-16	20-19	20	31	33	20	31	33	4.19	
3275	20-11-16	20-24	21	33	41	21	33	41	4.19	
3276	20-11-16	20-30	22	32	36	22	32	36	4.19	
3277	20-11-16	20-35	20	29	35	20	29	35	4.19	
3278	20-11-16	20-41	22	31	33	22	31	33	4.19	
3279	20-11-16	20-46	21	33	36	21	33	36	4.19	
3280	20-11-16	20-52	22	34	37	22	34	37	4.19	
3281	20-11-16	20-57	21	31	32	21	31	32	4.19	
3282	20-11-16	21-3	20	30	32	20	30	32	4.19	
3283	20-11-16	21-8	20	31	35	20	31	35	4.19	
3284	20-11-16	21-14	19	28	31	19	28	31	4.19	
3285	20-11-16	21-19	20	30	33	20	30	33	4.19	
3286	20-11-16	21-25	20	27	29	20	27	29	4.19	
3287	20-11-16	21-30	19	30	33	19	30	33	4.19	
3288	20-11-16	21-36	21	32	33	21	32	33	4.19	
3289	20-11-16	21-41	20	31	36	20	31	36	4.19	
3290	20-11-16	21-47	18	28	31	18	28	31	4.19	
3291	20-11-16	21-52	21	33	36	21	33	36	4.19	
3292	20-11-16	21-58	21	33	34	21	33	34	4.19	
3293	20-11-16	22-3	20	33	36	20	33	36	4.19	
3294	20-11-16	22-9	18	28	32	18	28	32	4.19	
3295	20-11-16	22-14	19	28	31	19	28	31	4.19	
3296	20-11-16	22-20	21	32	33	21	32	33	4.19	
3297	20-11-16	22-25	20	30	31	20	30	31	4.19	
3298	20-11-16	22-31	20	28	30	20	28	30	4.17	
3299	20-11-16	22-37	20	31	33	20	31	33	4.16	
3300	20-11-16	22-42	20	30	33	20	30	33	4.16	
3301	20-11-16	22-48	19	28	33	19	28	33	4.16	
3302	20-11-16	22-53	16	26	26	16	26	26	4.16	
3303	20-11-16	22-59	21	33	36	21	33	36	4.15	
3304	20-11-16	23-4	16	23	27	16	23	27	4.15	
3305	20-11-16	23-10	17	26	27	17	26	27	4.15	
3306	20-11-16	23-15	17	29	33	17	29	33	4.15	
3307	20-11-16	23-21	17	27	33	17	27	33	4.15	
3308	20-11-16	23-26	17	29	32	17	29	32	4.15	
3309	20-11-16	23-32	17	28	30	17	28	30	4.14	
3310	20-11-16	23-37	17	28	30	17	28	30	4.14	
3311	20-11-16	23-43	17	26	28	17	26	28	4.14	
3312	20-11-16	23-48	17	28	30	17	28	30	4.14	
3313	20-11-16	23-54	17	29	33	17	29	33	4.14	
3314	20-11-16	23-59	17	26	28	17	26	28	4.14	
3315	20-11-17	0-5	16	26	28	16	26	28	4.14	
3316	20-11-17	0-11	19	26	32	19	26	32	4.13	
3317	20-11-17	0-16	17	26	27	17	26	27	4.13	
3318	20-11-17	0-22	16	23	26	16	23	26	4.14	
3319	20-11-17	0-27	16	24	26	16	24	26	4.13	
3320	20-11-17	0-33	15	23	26	15	23	26	4.13	
3321	20-11-17	0-38	17	27	30	17	27	30	4.13	
3322	20-11-17	0-44	16	22	23	16	22	23	4.13	
3323	20-11-17	0-49	17	26	27	17	26	27	4.13	
3324	20-11-17	0-55	16	23	24	16	23	24	4.13	
3325	20-11-17	1-0	16	23	26	16	23	26	4.13	
3326	20-11-17	1-6	17	26	30	17	26	30	4.12	
3327	20-11-17	1-11	17	24	27	17	24	27	4.12	
3328	20-11-17	1-17	16	23	23	16	23	23	4.12	
3329	20-11-17	1-22	16	24	28	16	24	28	4.12	
3330	20-11-17	1-28	15	24	30	15	24	30	4.12	
3331	20-11-17	1-34	17	26	28	17	26	28	4.12	
3332	20-11-17	1-39	21	31	33	21	31	33	4.12	
3333	20-11-17	1-45	15	25	28	15	25	28	4.12	
3334	20-11-17	1-50	15	27	28	15	27	28	4.11	
3335	20-11-17	1-56	16	23	24	16	23	24	4.11	
3336	20-11-17	2-1	17	27	33	17	27	33	4.11	
3337	20-11-17	2-7	15	24	25	15	24	25	4.1	
3338	20-11-17	2-12	17	28	33	17	28	33	4.11	
3339	20-11-17	2-18	18	26	30	18	26	30	4.11	
3340	20-11-17	2-23	15	24	24	15	24	24	4.11	
3341	20-11-17	2-29	16	28	28	16	28	28	4.11	
3342	20-11-17	2-34	12	21	23	12	21	23	4.11	
3343	20-11-17	2-40	11	18	20	11	18	20	4.1	
3344	20-11-17	2-45	10	17	20	10	17	20	4.1	
3345	20-11-17	2-51	12	24	26	12	24	26	4.11	
3346	20-11-17	2-57	14	21	21	14	21	21	4.1	
3347	20-11-17	3-2	14	22	25	14	22	25	4.1	
3348	20-11-17	3-8	12	18	19	12	18	19	4.1	
3349	20-11-17	3-13	14	22	23	14	22	23	4.09	
3350	20-11-17	3-19	11	18	23	11	18	23	4.1	
3351	20-11-17	3-24	10	18	18	10	18	18	4.09	
3352	20-11-17	3-30	10	15	18	10	15	18	4.09	
3353	20-11-17	3-35	11	18	20	11	18	20	4.09	
3354	20-11-17	3-41	12	19	23	12	19	23	4.1	
3355	20-11-17	3-46	10	16	19	10	16	19	4.09	
3356	20-11-17	3-52	8	12	12	8	12	12	4.1	
3357	20-11-17	3-57	10	17	21	10	17	21	4.09	
3358	20-11-17	4-3	9	13	15	9	13	15	4.09	
3359	20-11-17	4-8	11	17	18	11	17	18	4.09	
3360	20-11-17	4-14	10	17	19	10	17	19	4.09	
3361	20-11-17	4-19	11	19	21	11	19	21	4.09	
3362	20-11-17	4-25	11	17	18	11	17	18	4.09	
3363	20-11-17	4-31	11	17	18	11	17	18	4.09	
3364	20-11-17	4-36	11	17	19	11	17	19	4.08	
3365	20-11-17	4-42	12	18	19	12	18	19	4.08	
3366	20-11-17	4-47	12	18	20	12	18	20	4.08	
3367	20-11-17	4-53	15	24	26	15	24	26	4.08	
3368	20-11-17	4-58	11	17	22	11	17	22	4.08	
3369	20-11-17	5-4	12	18	20	12	18	20	4.08	
3370	20-11-17	5-9	12	19	20	12	19	20	4.09	
3371	20-11-17	5-15	12	19	22	12	19	22	4.08	
3372	20-11-17	5-20	14	21	23	14	21	23	4.08	
3373	20-11-17	5-26	14	22	23	14	22	23	4.08	
3374	20-11-17	5-31	14	22	24	14	22	24	4.07	
3375	20-11-17	5-37	14	22	23	14	22	23	4.07	
3376	20-11-17	5-42	15	24	26	15	24	26	4.06	
3377	20-11-17	5-48	14	24	25	14	24	25	4.07	
3378	20-11-17	5-54	15	22	23	15	22	23	4.07	
3379	20-11-17	5-59	16	25	29	16	25	29	4.07	
3380	20-11-17	6-5	14	23	26	14	23	26	4.07	
3381	20-11-17	6-10	12	21	21	12	21	21	4.07	
3382	20-11-17	6-16	15	22	27	15	22	27	4.07	
3383	20-11-17	6-21	15	23	29	15	23	29	4.07	
3384	20-11-17	6-27	12	19	22	12	19	22	4.07	
3385	20-11-17	6-32	14	22	23	14	22	23	4.06	
3386	20-11-17	6-38	14	21	21	14	21	21	4.07	
3387	20-11-17	6-43	15	22	26	15	22	26	4.06	
3388	20-11-17	6-49	12	18	19	12	18	19	4.06	
3389	20-11-17	6-54	14	24	28	14	24	28	4.06	
3390	20-11-17	7-0	14	23	30	14	23	30	4.06	
3391	20-11-17	7-5	13	22	24	13	22	24	4.07	
3392	20-11-17	7-11	15	22	24	15	22	24	4.06	
3393	20-11-17	7-16	14	22	23	14	22	23	4.06	
3394	20-11-17	7-22	16	24	27	16	24	27	4.06	
3395	20-11-17	7-28	15	26	29	15	26	29	4.06	
3396	20-11-17	7-33	16	28	33	16	28	33	4.05	
3397	20-11-17	7-39	15	26	29	15	26	29	4.05	
3398	20-11-17	7-44	15	23	26	15	23	26	4.07	
3399	20-11-17	7-50	15	25	30	15	25	30	4.03	
3400	20-11-17	7-55	15	23	26	15	23	26	4.05	
3401	20-11-17	8-1	15	25	27	15	25	27	4.05	
3402	20-11-17	8-6	15	22	23	15	22	23	4.05	
3403	20-11-17	8-12	14	21	25	14	21	25	4.05	
3404	20-11-17	8-17	17	26	28	17	26	28	4.06	
3405	20-11-17	8-23	14	23	26	14	23	26	4.05	
3406	20-11-17	8-28	15	23	25	15	23	25	4.05	
3407	20-11-17	8-34	17	25	25	17	25	25	4.04	
3408	20-11-17	8-39	16	25	27	16	25	27	4.05	
3409	20-11-17	8-45	15	21	22	15	21	22	4.05	
3410	20-11-17	8-51	16	23	23	16	23	23	4.05	
3411	20-11-17	8-56	15	21	22	15	21	22	4.05	
3412	20-11-17	9-2	15	25	27	15	25	27	4.05	
3413	20-11-17	9-7	16	26	29	16	26	29	4.04	
3414	20-11-17	9-13	15	22	26	15	22	26	4.04	
3415	20-11-17	9-18	13	19	25	13	19	25	4.04	
3416	20-11-17	9-24	15	22	23	15	22	23	4.04	
3417	20-11-17	9-29	14	21	21	14	21	21	4.04	
3418	20-11-17	9-35	15	21	22	15	21	22	4.04	
3419	20-11-17	9-40	12	18	18	12	18	18	4.04	
3420	20-11-17	9-46	14	20	22	14	20	22	4.04	
3421	20-11-17	9-51	13	18	19	13	18	19	4.04	
3422	20-11-17	9-57	15	21	21	15	21	21	4.04	
3423	20-11-17	10-2	13	20	21	13	20	21	4.04	
3424	20-11-17	10-8	10	18	19	10	18	19	4.05	
3425	20-11-17	10-14	11	16	16	11	16	16	4.04	
3426	20-11-17	10-19	11	16	17	11	16	17	4.04	
3427	20-11-17	10-25	10	16	16	10	16	16	4.03	
3428	20-11-17	10-30	11	17	19	11	17	19	4.04	
3429	20-11-17	10-36	9	13	13	9	13	13	4.03	
3430	20-11-17	10-41	9	14	14	9	14	14	4.03	
3431	20-11-17	10-47	10	15	16	10	15	16	4.04	
3432	20-11-17	10-52	9	13	13	9	13	13	4.05	
3433	20-11-17	10-58	8	13	15	8	13	15	4.03	
3434	20-11-17	11-3	10	15	16	10	15	16	4.03	
3435	20-11-17	11-9	10	15	16	10	15	16	4.03	
