empty	年-	时分	PM1.0(标)	PM2.5(标)	PM10(标)	PM1.0(气)	PM2.5(气)	PM10(气)	电压
	2020/11/11	6-41	9	14	15	9	14	15	3.63
	2020/11/11	6-46	8	11	11	8	11	11	3.63
	2020/11/11	6-52	8	12	12	8	12	12	3.62
	2020/11/11	6-57	8	11	12	8	11	12	3.62
	2020/11/11	7-3	8	11	11	8	11	11	3.62
	2020/11/11	7-9	8	12	12	8	12	12	3.62
	2020/11/11	7-14	11	15	17	11	15	17	3.61
	2020/11/11	7-20	11	15	16	11	15	16	3.62
	2020/11/11	7-25	12	21	21	12	21	21	3.62
	2020/11/11	7-31	8	12	12	8	12	12	3.63
	2020/11/11	7-36	11	18	21	11	18	21	3.62
	2020/11/11	7-42	17	25	27	17	25	27	3.62
	2020/11/11	7-47	17	22	25	17	22	25	3.62
	2020/11/11	7-53	15	21	27	15	21	27	3.62
	2020/11/11	7-58	17	25	25	17	25	25	3.62
	2020/11/11	8-4	15	22	25	15	22	25	3.62
	2020/11/11	8-9	15	21	24	15	21	24	3.62
	2020/11/11	8-15	18	25	27	18	25	27	3.61
	2020/11/11	8-20	18	25	32	18	25	32	3.62
	2020/11/11	8-26	21	28	31	21	28	31	3.62
	2020/11/11	8-32	20	27	28	20	27	28	3.61
	2020/11/11	8-37	19	29	32	19	29	32	3.62
	2020/11/11	8-43	21	31	32	21	31	32	3.62
	2020/11/11	8-48	22	29	34	22	29	34	3.63
	2020/11/11	8-54	27	37	39	27	37	39	3.62
	2020/11/11	8-59	27	37	44	27	37	44	3.61
	2020/11/11	9-5	24	34	37	24	34	37	3.61
	2020/11/11	9-10	21	34	38	21	34	38	3.61
	2020/11/11	9-16	25	38	44	25	38	44	3.61
	2020/11/11	9-21	24	34	37	24	34	37	3.61
	2020/11/11	9-27	25	37	39	25	37	39	3.61
	2020/11/11	9-32	22	32	34	22	32	34	3.61
	2020/11/11	9-38	27	37	39	27	37	39	3.61
	2020/11/11	9-43	24	38	42	24	38	42	3.61
	2020/11/11	9-49	27	38	42	27	38	42	3.61
	2020/11/11	9-55	27	38	45	27	38	45	3.61
	2020/11/11	10-0	29	41	45	28	41	45	3.61
	2020/11/11	10-6	28	42	48	28	42	48	3.61
	2020/11/11	10-11	29	42	42	28	42	42	3.61
	2020/11/11	10-17	27	37	41	27	37	41	3.61
	2020/11/11	10-22	29	42	49	28	42	49	3.61
	2020/11/11	10-28	29	41	46	28	41	46	3.61
	2020/11/11	10-33	28	39	41	28	39	41	3.58
	2020/11/11	10-39	28	39	41	28	39	41	3.61
	2020/11/11	10-44	29	41	44	28	41	44	3.6
	2020/11/11	10-50	31	44	48	29	42	48	3.6
	2020/11/11	10-55	28	39	42	28	39	42	3.61
	2020/11/11	11-1	29	42	46	28	42	46	3.6
	2020/11/11	11-6	29	44	51	28	42	51	3.61
	2020/11/11	11-12	28	39	39	28	39	39	3.6
	2020/11/11	11-17	27	42	48	27	42	48	3.6
	2020/11/11	11-23	28	38	38	28	38	38	3.61
	2020/11/11	11-29	34	45	48	31	44	48	3.6
	2020/11/11	11-34	30	44	47	28	42	47	3.6
	2020/11/11	11-40	27	38	47	27	38	47	3.6
	2020/11/11	11-45	27	38	45	27	38	45	3.6
	2020/11/11	11-51	25	34	35	25	34	35	3.6
	2020/11/11	11-56	24	35	39	24	35	39	3.6
	2020/11/11	12-2	24	32	34	24	32	34	3.6
	2020/11/11	12-7	25	32	35	25	32	35	3.6
	2020/11/11	12-13	21	31	35	21	31	35	3.6
	2020/11/11	12-18	25	35	39	25	35	39	3.6
	2020/11/11	12-24	21	28	29	21	28	29	3.6
	2020/11/11	12-29	22	32	34	22	32	34	3.6
	2020/11/11	12-35	24	32	37	24	32	37	3.6
	2020/11/11	12-40	18	24	26	18	24	26	3.6
	2020/11/11	12-46	17	22	22	17	22	22	3.6
	2020/11/11	12-52	19	28	29	19	28	29	3.6
	2020/11/11	12-57	15	22	26	15	22	26	3.6
	2020/11/11	3-13	17	22	24	17	22	24	3.6
	2020/11/11	8-13	15	21	24	15	21	24	3.6
	2020/11/11	13-14	16	25	28	16	25	28	3.6
	2020/11/11	13-19	18	25	26	18	25	26	3.59
	2020/11/11	13-25	16	25	25	16	25	25	3.59
	2020/11/11	13-30	17	24	24	17	24	24	3.59
	2020/11/11	13-36	15	22	24	15	22	24	3.58
	2020/11/11	13-41	18	26	26	18	26	26	3.6
	2020/11/11	13-44	17	27	29	17	27	29	4.02
	2020/11/11	13-50	18	25	27	18	25	27	3.59
	2020/11/11	13-55	16	24	29	16	24	29	3.6
	2020/11/11	1-14	16	26	27	16	26	27	3.59
	2020/11/11	7-14	16	23	24	16	23	24	3.6
	2020/11/11	12-14	17	24	26	17	24	26	3.57
	2020/11/11	14-18	16	23	24	16	23	24	3.6
	2020/11/11	14-23	13	20	20	13	20	20	3.6
	2020/11/11	14-29	15	22	27	15	22	27	3.59
	2020/11/11	14-34	18	24	26	18	24	26	3.6
	2020/11/11	14-40	18	24	26	18	24	26	3.59
	2020/11/11	14-45	19	26	26	19	26	26	3.59
	2020/11/11	14-51	15	22	24	15	22	24	3.59
	2020/11/11	14-56	18	23	26	18	23	26	3.6
	2020/11/11	2-15	16	23	25	16	23	25	3.6
	2020/11/11	7-15	15	22	23	15	22	23	3.59
	2020/11/11	15-13	15	20	20	15	20	20	3.58
	2020/11/11	15-18	12	18	19	12	18	19	3.59
	2020/11/11	15-24	12	16	18	12	16	18	3.58
	2020/11/11	15-29	12	18	18	12	18	18	3.58
	2020/11/11	15-35	11	15	16	11	15	16	3.59
	2020/11/11	15-41	9	15	15	9	15	15	3.58
	2020/11/11	15-46	11	16	19	11	16	19	3.59
	2020/11/11	15-52	11	15	18	11	15	18	3.58
	2020/11/11	15-57	9	15	15	9	15	15	3.59
	2020/11/11	3-16	11	15	16	11	15	16	3.59
	2020/11/11	8-16	9	13	15	9	13	15	3.59
	2020/11/11	16-14	9	13	15	9	13	15	3.58
	2020/11/11	16-19	8	12	14	8	12	14	3.59
	2020/11/11	16-25	8	11	12	8	11	12	3.58
	2020/11/11	16-30	6	11	11	6	11	11	3.58
	2020/11/11	16-36	7	9	11	7	9	11	3.59
	2020/11/11	16-41	5	9	11	5	9	11	3.58
	2020/11/11	16-47	5	8	9	5	8	9	3.59
	2020/11/11	16-52	5	8	8	5	8	8	3.59
	2020/11/11	16-58	5	8	9	5	8	9	3.58
	2020/11/11	4-17	7	11	11	7	11	11	3.59
	2020/11/11	9-17	5	8	8	5	8	8	3.57
	2020/11/11	17-15	5	9	11	5	9	11	3.58
	2020/11/11	17-20	5	9	11	5	9	11	3.58
	2020/11/11	17-26	5	8	8	5	8	8	3.58
	2020/11/11	17-31	4	8	9	4	8	9	3.58
	2020/11/11	17-37	7	9	11	7	9	11	3.57
	2020/11/11	17-42	5	7	7	5	7	7	3.58
	2020/11/11	17-48	5	9	9	5	9	9	3.57
	2020/11/11	17-53	7	9	11	7	9	11	3.57
	2020/11/11	17-59	5	8	8	5	8	8	3.58
	2020/11/11	4-18	5	7	8	5	7	8	3.58
	2020/11/11	10-18	4	7	7	4	7	7	3.58
	2020/11/11	18-15	5	8	8	5	8	8	3.58
	2020/11/11	18-21	5	7	7	5	7	7	3.58
	2020/11/11	18-27	5	7	11	5	7	11	3.58
	2020/11/11	18-32	5	8	8	5	8	8	3.58
	2020/11/11	18-38	7	11	11	7	11	11	3.58
	2020/11/11	18-43	7	11	11	7	11	11	3.58
	2020/11/11	18-49	5	9	12	5	9	12	3.58
	2020/11/11	18-54	7	8	8	7	8	8	3.58
	2020/11/11	19-0	8	12	12	8	12	12	3.58
	2020/11/11	5-19	5	9	9	5	9	9	3.58
	2020/11/11	11-19	9	12	14	9	12	14	3.55
	2020/11/11	19-16	7	11	11	7	11	11	3.58
	2020/11/11	19-22	7	9	11	7	9	11	3.58
	2020/11/11	19-27	8	14	15	8	14	15	3.58
	2020/11/11	19-33	8	11	11	8	11	11	3.58
	2020/11/11	19-38	8	11	14	8	11	14	3.58
	2020/11/11	19-44	7	9	12	7	9	12	3.58
	2020/11/11	19-49	7	9	12	7	9	12	3.58
	2020/11/11	19-55	7	9	9	7	9	9	3.57
	2020/11/11	1-20	7	11	14	7	11	14	3.57
	2020/11/11	6-20	7	11	12	7	11	12	3.57
	2020/11/11	12-20	9	14	14	9	14	14	3.57
	2020/11/11	20-15	9	14	15	9	14	15	4.04
	2020/11/11	20-21	8	13	13	8	13	13	4.1
	2020/11/11	20-26	8	11	11	8	11	11	4.17
	2020/11/11	20-32	8	14	16	8	14	16	4.22
	2020/11/11	20-37	9	12	14	9	12	14	4.19
	2020/11/11	20-43	11	14	14	11	14	14	4.21
	2020/11/11	20-48	9	12	14	9	12	14	4.22
	2020/11/11	20-54	7	11	12	7	11	12	4.23
	2020/11/11	20-59	7	12	12	7	12	12	4.24
	2020/11/11	5-21	9	14	17	9	14	17	4.26
	2020/11/11	10-21	10	15	15	10	15	15	4.26
	2020/11/11	21-16	7	12	12	7	12	12	4.29
	2020/11/11	21-21	10	15	16	10	15	16	4.31
	2020/11/11	21-27	7	12	12	7	12	12	4.32
	2020/11/11	21-32	9	12	13	9	12	13	4.34
	2020/11/11	21-38	10	13	15	10	13	15	4.35
	2020/11/11	21-43	9	12	12	9	12	12	4.38
	2020/11/11	21-49	9	12	13	9	12	13	4.39
	2020/11/11	21-54	9	13	15	9	13	15	4.39
	2020/11/11	22-0	9	12	15	9	12	15	4.39
	2020/11/11	5-22	10	13	13	10	13	13	4.39
	2020/11/11	11-22	7	12	13	7	12	13	4.39
	2020/11/11	22-16	10	13	13	10	13	13	4.39
	2020/11/11	22-22	10	16	16	10	16	16	4.39
	2020/11/11	22-27	10	15	15	10	15	15	4.39
	2020/11/11	22-33	10	15	16	10	15	16	4.39
	2020/11/11	22-38	10	16	18	10	16	18	4.39
	2020/11/11	22-44	10	13	15	10	13	15	4.39
	2020/11/11	22-49	9	12	12	9	12	12	4.39
	2020/11/11	22-55	12	18	19	12	18	19	4.39
	2020/11/11	23-0	9	12	12	9	12	12	4.39
	2020/11/11	6-23	10	15	16	10	15	16	4.39
	2020/11/11	11-23	7	13	15	7	13	15	4.39
	2020/11/11	23-17	9	13	13	9	13	13	4.39
	2020/11/11	23-22	9	15	16	9	15	16	4.39
	2020/11/11	23-28	9	15	15	9	15	15	4.39
	2020/11/11	23-33	9	15	16	9	15	16	4.39
	2020/11/11	23-39	8	11	11	8	11	11	4.39
	2020/11/11	23-44	10	13	14	10	13	14	4.39
	2020/11/11	23-50	8	13	13	8	13	13	4.39
	2020/11/11	23-55	8	11	11	8	11	11	4.39
	2020/11/12	0-1	11	16	19	11	16	19	4.39
	2020/11/12	0-6	10	14	16	10	14	16	4.38
	2020/11/12	0-12	10	16	17	10	16	17	4.38
	2020/11/12	0-17	13	20	20	13	20	20	4.36
	2020/11/12	0-23	10	14	14	10	14	14	4.35
	2020/11/12	0-28	10	13	14	10	13	14	4.34
	2020/11/12	0-34	10	14	16	10	14	16	4.32
	2020/11/12	0-39	8	13	14	8	13	14	4.31
	2020/11/12	0-45	10	14	18	10	14	18	4.3
	2020/11/12	0-50	10	17	17	10	17	17	4.29
	2020/11/12	0-56	9	14	14	9	14	14	4.17
	2020/11/12	1-1	8	12	14	8	12	14	4.17
	2020/11/12	1-7	8	11	11	8	11	11	4.17
	2020/11/12	1-12	12	15	16	12	15	16	4.17
	2020/11/12	1-18	8	12	14	8	12	14	4.17
	2020/11/12	1-23	11	14	15	11	14	15	4.17
	2020/11/12	1-29	9	11	11	9	11	11	4.18
	2020/11/12	1-34	9	12	14	9	12	14	4.18
	2020/11/12	1-40	11	14	14	11	14	14	4.18
	2020/11/12	1-45	9	14	15	9	14	15	4.18
	2020/11/12	1-51	9	15	18	9	15	18	4.18
	2020/11/12	1-56	9	14	14	9	14	14	4.18
	2020/11/12	2-2	11	16	16	11	16	16	4.18
	2020/11/12	2-7	9	12	12	9	12	12	4.18
	2020/11/12	2-13	9	12	12	9	12	12	4.17
	2020/11/12	2-18	9	13	16	9	13	16	4.17
	2020/11/12	2-24	11	15	16	11	15	16	4.16
	2020/11/12	2-29	11	15	16	11	15	16	4.16
	2020/11/12	2-35	9	12	13	9	12	13	4.16
	2020/11/12	2-40	9	14	15	9	14	15	4.16
	2020/11/12	2-46	8	11	12	8	11	12	4.16
	2020/11/12	2-51	11	15	15	11	15	15	4.16
	2020/11/12	2-57	9	12	14	9	12	14	4.16
	2020/11/12	3-2	8	15	15	8	15	15	4.16
	2020/11/12	3-8	9	14	14	9	14	14	4.15
	2020/11/12	3-13	9	14	16	9	14	16	4.15
	2020/11/12	3-19	11	15	15	11	15	15	4.15
	2020/11/12	3-24	9	16	18	9	16	18	4.15
	2020/11/12	3-30	11	14	14	11	14	14	4.15
	2020/11/12	3-35	9	15	16	9	15	16	4.15
	2020/11/12	3-41	8	12	12	8	12	12	4.15
	2020/11/12	3-46	9	14	15	9	14	15	4.15
	2020/11/12	3-52	8	15	15	8	15	15	4.15
	2020/11/12	3-57	9	12	14	9	12	14	4.15
	2020/11/12	4-3	9	14	18	9	14	18	4.15
	2020/11/12	4-8	11	15	16	11	15	16	4.15
	2020/11/12	4-14	9	14	15	9	14	15	4.15
	2020/11/12	4-19	9	15	15	9	15	15	4.15
	2020/11/12	4-25	11	14	18	11	14	18	4.15
	2020/11/12	4-30	7	12	16	7	12	16	4.15
	2020/11/12	4-36	9	14	15	9	14	15	4.15
	2020/11/12	4-41	8	12	12	8	12	12	4.15
	2020/11/12	4-47	9	12	18	9	12	18	4.15
	2020/11/12	4-52	9	12	12	9	12	12	4.15
	2020/11/12	4-58	8	14	14	8	14	14	4.15
	2020/11/12	5-3	11	15	15	11	15	15	4.15
	2020/11/12	5-9	8	12	14	8	12	14	4.15
	2020/11/12	5-14	9	15	16	9	15	16	4.15
	2020/11/12	5-20	11	15	16	11	15	16	4.15
	2020/11/12	5-25	8	12	15	8	12	15	4.15
	2020/11/12	5-31	9	12	15	9	12	15	4.15
	2020/11/12	5-36	8	12	12	8	12	12	4.15
	2020/11/12	5-42	8	14	14	8	14	14	4.15
	2020/11/12	5-47	9	14	16	9	14	16	4.15
	2020/11/12	5-53	7	12	15	7	12	15	4.15
	2020/11/12	5-58	9	12	14	9	12	14	4.15
	2020/11/12	6-4	8	14	14	8	14	14	4.15
	2020/11/12	6-9	8	12	14	8	12	14	4.15
	2020/11/12	6-15	9	15	15	9	15	15	4.15
	2020/11/12	6-20	9	14	14	9	14	14	4.15
	2020/11/12	6-26	8	12	15	8	12	15	4.15
	2020/11/12	6-31	9	15	15	9	15	15	4.15
	2020/11/12	6-37	9	14	14	9	14	14	4.15
	2020/11/12	6-42	9	14	14	9	14	14	4.15
	2020/11/12	6-48	9	15	18	9	15	18	4.15
	2020/11/12	6-53	14	18	18	14	18	18	4.15
	2020/11/12	6-59	9	14	14	9	14	14	4.15
	2020/11/12	7-4	12	15	15	12	15	15	4.15
	2020/11/12	7-10	11	16	18	11	16	18	4.15
	2020/11/12	7-15	11	16	16	11	16	16	4.15
	2020/11/12	7-21	9	16	18	9	16	18	4.15
	2020/11/12	7-26	12	16	16	12	16	16	4.15
	2020/11/12	7-32	12	18	21	12	18	21	4.15
	2020/11/12	7-37	12	18	18	12	18	18	4.15
	2020/11/12	7-43	12	16	21	12	16	21	4.15
	2020/11/12	7-49	12	16	19	12	16	19	4.15
	2020/11/12	7-54	12	18	19	12	18	19	4.15
	2020/11/12	8-0	12	19	24	12	19	24	4.15
	2020/11/12	8-5	12	19	21	12	19	21	4.15
	2020/11/12	8-11	12	18	18	12	18	18	4.14
	2020/11/12	8-16	15	19	19	15	19	19	4.14
	2020/11/12	8-22	8	14	14	8	14	14	4.15
	2020/11/12	8-27	12	16	21	12	16	21	4.14
	2020/11/12	8-33	11	16	18	11	16	18	4.14
	2020/11/12	8-38	11	15	15	11	15	15	4.15
	2020/11/12	8-44	12	18	19	12	18	19	4.14
	2020/11/12	8-49	11	18	18	11	18	18	4.14
	2020/11/12	8-55	11	16	19	11	16	19	4.14
	2020/11/12	9-0	11	16	16	11	16	16	4.14
	2020/11/12	9-6	12	16	16	12	16	16	4.14
	2020/11/12	9-11	9	14	14	9	14	14	4.14
	2020/11/12	9-17	11	14	15	11	14	15	4.14
	2020/11/12	9-22	9	14	14	9	14	14	4.14
	2020/11/12	9-28	9	14	15	9	14	15	4.14
	2020/11/12	9-33	9	14	14	9	14	14	4.14
	2020/11/12	9-39	9	14	14	9	14	14	4.14
	2020/11/12	9-44	11	12	18	11	12	18	4.14
	2020/11/12	9-50	9	12	14	9	12	14	4.14
	2020/11/12	9-55	9	12	12	9	12	12	4.14
	2020/11/12	10-1	9	14	16	9	14	16	4.14
	2020/11/12	10-6	7	12	12	7	12	12	4.14
	2020/11/12	10-12	8	12	12	8	12	12	4.14
	2020/11/12	10-17	8	11	11	8	11	11	4.14
	2020/11/12	10-23	9	14	16	9	14	16	4.14
	2020/11/12	10-28	9	12	12	9	12	12	4.14
	2020/11/12	10-34	8	12	12	8	12	12	4.14
	2020/11/12	10-39	9	14	14	9	14	14	4.14
	2020/11/12	10-45	11	14	15	11	14	15	4.14
	2020/11/12	10-50	9	14	15	9	14	15	4.14
	2020/11/12	10-56	11	15	15	11	15	15	4.14
	2020/11/12	11-1	12	18	18	12	18	18	4.14
	2020/11/12	11-7	12	18	18	12	18	18	4.14
	2020/11/12	11-12	11	14	16	11	14	16	4.14
	2020/11/12	11-18	12	16	16	12	16	16	4.14
	2020/11/12	11-23	9	14	15	9	14	15	4.14
	2020/11/12	11-29	12	18	18	12	18	18	4.14
	2020/11/12	11-34	12	16	18	12	16	18	4.14
	2020/11/12	11-40	12	18	18	12	18	18	4.14
	2020/11/12	11-45	12	16	16	12	16	16	4.14
	2020/11/12	11-51	11	14	18	11	14	18	4.14
	2020/11/12	11-56	9	14	14	9	14	14	4.14
	2020/11/12	12-2	9	14	15	9	14	15	4.14
	2020/11/12	12-7	12	16	18	12	16	18	4.14
	2020/11/12	12-13	9	15	16	9	15	16	4.14
	2020/11/12	12-18	9	14	15	9	14	15	4.14
	2020/11/12	12-24	11	14	16	11	14	16	4.14
	2020/11/12	12-29	11	16	19	11	16	19	4.14
	2020/11/12	12-35	9	14	15	9	14	15	4.14
	2020/11/12	12-40	12	16	17	12	16	17	4.11
	2020/11/12	12-46	10	16	16	10	16	16	4.12
	2020/11/12	12-51	9	13	17	9	13	17	4.11
	2020/11/12	12-57	11	15	19	11	15	19	4.11
	2020/11/12	2-13	10	16	20	10	16	20	4.11
	2020/11/12	8-13	5	6	8	5	6	8	4.11
	2020/11/12	13-13	6	11	12	6	11	12	4.11
	2020/11/12	13-19	6	8	8	6	8	8	4.11
	2020/11/12	13-24	6	8	9	6	8	9	4.1
	2020/11/12	13-30	6	9	9	6	9	9	4.11
	2020/11/12	13-36	9	16	16	9	16	16	4.1
	2020/11/12	13-41	9	13	13	9	13	13	4.1
	2020/11/12	13-47	8	13	16	8	13	16	4.1
	2020/11/12	13-52	8	11	12	8	11	12	4.1
	2020/11/12	13-58	6	12	12	6	12	12	4.11
	2020/11/12	3-14	9	13	15	9	13	15	4.06
	2020/11/12	9-14	9	12	12	9	12	12	4.09
	2020/11/12	14-14	6	12	13	6	12	13	4.1
	2020/11/12	14-20	8	12	15	8	12	15	4.09
	2020/11/12	14-25	9	13	13	9	13	13	4.09
	2020/11/12	14-31	8	12	13	8	12	13	4.1
	2020/11/12	14-36	8	12	16	8	12	16	4.11
	2020/11/12	14-42	8	11	12	8	11	12	4.09
	2020/11/12	14-47	8	13	13	8	13	13	4.09
	2020/11/12	14-53	9	13	15	9	13	15	4.09
	2020/11/12	14-58	9	16	16	9	16	16	4.08
	2020/11/12	4-15	11	15	18	11	15	18	4.08
	2020/11/12	10-15	11	16	18	11	16	18	4.08
	2020/11/12	15-15	11	15	16	11	15	16	4.08
	2020/11/12	15-21	9	15	15	9	15	15	4.08
	2020/11/12	15-26	11	15	18	11	15	18	4.08
	2020/11/12	15-32	9	13	15	9	13	15	4.07
	2020/11/12	15-37	11	16	18	11	16	18	4.07
	2020/11/12	15-43	9	15	16	9	15	16	4.08
	2020/11/12	15-48	9	13	15	9	13	15	4.07
	2020/11/12	15-54	6	9	11	6	9	11	4.07
	2020/11/12	15-59	8	13	15	8	13	15	4.07
	2020/11/12	5-16	11	15	15	11	15	15	4.07
	2020/11/12	10-16	9	15	15	9	15	15	4.07
	2020/11/12	16-16	9	13	13	9	13	13	4.07
	2020/11/12	16-21	9	13	16	9	13	16	4.07
	2020/11/12	16-27	11	15	18	11	15	18	4.06
	2020/11/12	16-33	9	13	16	9	13	16	4.07
	2020/11/12	16-38	9	13	16	9	13	16	4.07
	2020/11/12	16-44	11	18	18	11	18	18	4.06
	2020/11/12	16-49	11	15	16	11	15	16	4.06
	2020/11/12	16-55	8	13	15	8	13	15	4.06
	2020/11/12	16-57	13	17	20	13	17	20	4.3
	2020/11/12	2-17	13	19	19	13	19	19	4.25
	2020/11/12	8-17	11	19	19	11	19	19	4.17
	2020/11/12	17-13	13	17	18	13	17	18	4.17
	2020/11/12	17-19	14	18	18	14	18	18	4.17
	2020/11/12	17-24	14	23	30	14	23	30	4.17
	2020/11/12	17-30	11	15	17	11	15	17	4.18
	2020/11/12	17-35	11	18	19	11	18	19	4.18
	2020/11/12	17-41	9	16	18	9	16	18	4.18
	2020/11/12	17-46	9	15	15	9	15	15	4.18
	2020/11/12	17-52	12	16	19	12	16	19	4.18
	2020/11/12	17-57	12	17	19	12	17	19	4.17
	2020/11/12	3-18	10	14	16	10	14	16	4.17
	2020/11/12	8-18	14	20	20	14	20	20	4.17
	2020/11/12	18-14	14	20	21	14	20	21	4.17
	2020/11/12	18-19	12	17	17	12	17	17	4.16
	2020/11/12	18-25	12	20	21	12	20	21	4.17
	2020/11/12	18-30	12	19	21	12	19	21	4.16
	2020/11/12	18-36	15	19	19	15	19	19	4.16
	2020/11/12	18-41	15	26	27	15	26	27	4.16
	2020/11/12	18-47	16	23	23	16	23	23	4.16
	2020/11/12	18-52	15	19	21	15	19	21	4.16
	2020/11/12	18-58	16	22	23	16	22	23	4.16
	2020/11/12	3-19	15	20	20	15	20	20	4.16
	2020/11/12	9-19	16	22	24	16	22	24	4.16
	2020/11/12	19-14	16	22	23	16	22	23	4.16
	2020/11/12	19-20	16	24	27	16	24	27	4.16
	2020/11/12	19-25	13	20	21	13	20	21	4.14
	2020/11/12	19-31	13	22	30	13	22	30	4.14
	2020/11/12	19-36	16	22	24	16	22	24	4.13
	2020/11/12	19-42	14	18	18	14	18	18	4.13
	2020/11/12	19-47	13	20	21	13	20	21	4.13
	2020/11/12	19-53	13	21	21	13	21	21	4.12
	2020/11/12	19-58	13	20	21	13	20	21	4.12
	2020/11/12	4-20	14	18	18	14	18	18	4.14
	2020/11/12	9-20	14	20	20	14	20	20	4.12
	2020/11/12	20-15	12	17	18	12	17	18	4.12
	2020/11/12	20-20	13	17	17	13	17	17	4.12
	2020/11/12	20-26	17	27	27	17	27	27	4.12
	2020/11/12	20-32	15	22	23	15	22	23	4.12
	2020/11/12	20-37	16	24	27	16	24	27	4.12
	2020/11/12	20-43	18	23	24	18	23	24	4.11
	2020/11/12	20-48	13	22	22	13	22	22	4.11
	2020/11/12	20-54	15	20	24	15	20	24	4.11
	2020/11/12	20-59	15	19	19	15	19	19	4.11
	2020/11/12	5-21	16	24	27	16	24	27	4.11
	2020/11/12	10-21	15	20	22	15	20	22	4.11
	2020/11/12	21-16	15	20	20	15	20	20	4.11
	2020/11/12	21-21	15	22	24	15	22	24	4.11
	2020/11/12	21-27	12	19	22	12	19	22	4.1
	2020/11/12	21-32	13	20	21	13	20	21	4.1
	2020/11/12	21-38	15	23	30	15	23	30	4.1
	2020/11/12	21-43	13	20	21	13	20	21	4.1
	2020/11/12	21-49	15	23	24	15	23	24	4.1
	2020/11/12	21-55	16	21	23	16	21	23	4.09
	2020/11/12	22-0	16	26	34	16	26	34	4.09
	2020/11/12	6-22	22	31	33	22	31	33	4.09
	2020/11/12	11-22	19	26	28	19	26	28	4.09
	2020/11/12	22-17	21	28	34	21	28	34	4.09
	2020/11/12	22-22	18	28	33	18	28	33	4.09
	2020/11/12	22-28	20	27	31	20	27	31	4.09
	2020/11/12	22-33	20	29	35	20	29	35	4.09
	2020/11/12	22-39	19	26	26	19	26	26	4.08
	2020/11/12	22-44	22	35	38	22	35	38	4.09
	2020/11/12	22-50	20	28	29	20	28	29	4.08
	2020/11/12	22-55	22	32	34	22	32	34	4.08
	2020/11/12	1-23	17	25	26	17	25	26	4.08
	2020/11/12	6-23	14	21	24	14	21	24	4.08
	2020/11/12	12-23	13	18	21	13	18	21	4.08
	2020/11/12	23-17	13	21	26	13	21	26	4.08
	2020/11/12	23-23	11	15	17	11	15	17	4.08
	2020/11/12	23-29	12	20	21	12	20	21	4.05
	2020/11/12	23-34	12	17	20	12	17	20	4.08
	2020/11/12	23-40	12	18	18	12	18	18	4.07
	2020/11/12	23-45	14	19	21	14	19	21	4.05
	2020/11/12	23-51	16	24	24	16	24	24	4.07
	2020/11/12	23-56	14	23	28	14	23	28	4.07
	2020/11/13	0-2	16	25	28	16	25	28	4.07
	2020/11/13	0-7	18	25	28	18	25	28	4.07
	2020/11/13	0-13	15	22	23	15	22	23	4.07
	2020/11/13	0-18	18	23	26	18	23	26	4.07
	2020/11/13	0-24	22	29	29	22	29	29	4.07
	2020/11/13	0-29	18	25	28	18	25	28	4.07
	2020/11/13	0-35	15	22	26	15	22	26	4.07
	2020/11/13	0-40	16	25	28	16	25	28	4.06
	2020/11/13	0-46	18	25	26	18	25	26	4.06
	2020/11/13	0-52	16	23	26	16	23	26	4.06
	2020/11/13	0-57	15	23	25	15	23	25	4.04
	2020/11/13	1-3	15	21	22	15	21	22	4.07
	2020/11/13	1-8	19	25	25	19	25	25	4.06
	2020/11/13	1-14	16	23	28	16	23	28	4.06
	2020/11/13	1-19	15	21	23	15	21	23	4.06
	2020/11/13	1-25	15	21	21	15	21	21	4.07
	2020/11/13	1-30	15	22	28	15	22	28	4.06
	2020/11/13	1-36	16	23	25	16	23	25	4.05
	2020/11/13	1-41	16	25	28	16	25	28	4.05
	2020/11/13	1-47	16	23	26	16	23	26	4.05
	2020/11/13	1-52	15	23	23	15	23	23	4.05
	2020/11/13	1-58	16	22	25	16	22	25	4.04
	2020/11/13	2-3	15	23	26	15	23	26	4.05
	2020/11/13	2-9	16	22	22	16	22	22	4.05
	2020/11/13	2-15	18	23	25	18	23	25	4.05
	2020/11/13	2-20	16	22	22	16	22	22	4.05
	2020/11/13	2-26	14	22	23	14	22	23	4.04
	2020/11/13	2-31	14	18	18	14	18	18	4.05
	2020/11/13	2-37	14	21	21	14	21	21	4.05
	2020/11/13	2-42	16	23	28	16	23	28	4.05
	2020/11/13	2-48	14	19	22	14	19	22	4.04
	2020/11/13	2-53	14	22	23	14	22	23	4.04
	2020/11/13	2-59	14	19	19	14	19	19	4.05
	2020/11/13	3-4	15	19	19	15	19	19	4.04
	2020/11/13	3-10	14	18	19	14	18	19	4.04
	2020/11/13	3-15	14	19	19	14	19	19	4.04
	2020/11/13	3-21	14	19	21	14	19	21	4.07
	2020/11/13	3-26	15	22	23	15	22	23	4.05
	2020/11/13	3-32	14	19	21	14	19	21	4.02
	2020/11/13	3-37	15	19	22	15	19	22	4.03
	2020/11/13	3-43	14	19	19	14	19	19	4.03
	2020/11/13	3-49	14	19	22	14	19	22	4.04
	2020/11/13	3-54	14	19	23	14	19	23	4.04
	2020/11/13	4-0	15	22	25	15	22	25	4.04
	2020/11/13	4-5	12	16	16	12	16	16	4
	2020/11/13	4-11	15	19	19	15	19	19	4.03
