数据排序	年-	时分	PM1.0(标)	PM2.5(标)	PM10(标)	PM1.0(气)	PM2.5(气)	PM10(气)	电压
2515	2020/11/13	7-14	31	40	43	27	38	43	4.15
2516	2020/11/13	12-14	31	40	42	27	38	42	4.15
2517	2020/11/13	14-18	35	45	48	30	40	48	4.15
2518	2020/11/13	14-23	35	42	43	29	39	43	4.15
2519	2020/11/13	14-29	38	49	53	31	43	51	4.15
2520	2020/11/13	14-34	34	43	48	29	40	48	4.15
2521	2020/11/13	14-40	39	48	48	32	42	48	4.15
2522	2020/11/13	14-45	41	50	53	32	43	51	4.15
2523	2020/11/13	14-51	35	46	48	30	41	48	4.15
2524	2020/11/13	14-56	36	48	49	31	42	49	4.15
2525	2020/11/13	2-15	31	40	42	27	38	42	4.15
2526	2020/11/13	7-15	31	37	39	27	36	39	4.15
2527	2020/11/13	15-13	26	34	36	25	34	36	4.15
2528	2020/11/13	15-18	21	29	31	21	29	31	4.15
2529	2020/11/13	15-24	22	32	34	22	32	34	4.15
2530	2020/11/13	15-29	30	39	43	26	37	43	4.15
2531	2020/11/13	15-35	32	40	40	27	38	40	4.15
2532	2020/11/13	15-40	31	40	41	27	38	41	4.15
2533	2020/11/13	15-46	20	31	35	20	31	35	4.15
2534	2020/11/13	15-51	22	31	32	22	31	32	4.15
2535	2020/11/13	15-57	21	31	33	21	31	33	4.15
2536	2020/11/13	2-16	22	31	31	22	31	31	4.15
2537	2020/11/13	8-16	25	33	34	24	33	34	4.15
2538	2020/11/13	16-13	31	37	40	27	36	40	4.15
2539	2020/11/13	16-19	33	42	43	28	39	43	4.15
2540	2020/11/13	16-24	34	42	43	29	39	43	4.15
2541	2020/11/13	16-30	44	55	57	34	46	55	4.15
2542	2020/11/13	16-35	46	54	55	34	46	54	4.15
2543	2020/11/13	16-41	48	57	58	35	47	56	4.15
2544	2020/11/13	16-46	46	54	55	34	46	54	4.15
2545	2020/11/13	16-52	45	51	51	34	45	51	4.15
2546	2020/11/13	16-57	50	60	62	36	48	57	4.15
2547	2020/11/13	3-17	51	57	59	37	47	56	4.15
2548	2020/11/13	8-17	48	56	57	35	47	55	4.15
2549	2020/11/13	17-14	24	33	34	23	33	34	4.15
2550	2020/11/13	17-19	24	33	34	23	33	34	4.15
2551	2020/11/13	17-25	25	33	33	24	33	33	4.15
2552	2020/11/13	17-30	27	34	36	25	34	36	4.15
2553	2020/11/13	17-36	46	58	60	35	47	57	4.15
2554	2020/11/13	17-41	26	36	37	25	34	37	4.15
2555	2020/11/13	17-47	24	32	32	23	32	32	4.15
2556	2020/11/13	17-52	26	34	36	25	34	36	4.15
2557	2020/11/13	17-58	47	58	62	36	47	58	4.15
2558	2020/11/13	3-18	27	36	36	25	34	36	4.15
2559	2020/11/13	9-18	25	35	36	24	35	36	4.15
2560	2020/11/13	18-14	26	35	35	25	35	35	4.15
2561	2020/11/13	18-20	30	40	43	26	38	43	4.15
2562	2020/11/13	18-25	28	37	42	25	36	42	4.15
2563	2020/11/13	18-31	26	36	39	25	35	39	4.15
2564	2020/11/13	18-36	29	37	40	26	36	40	4.15
2565	2020/11/13	18-42	26	35	37	25	35	37	4.15
2566	2020/11/13	18-47	26	36	38	25	35	38	4.15
2567	2020/11/13	18-53	29	39	40	26	37	40	4.15
2568	2020/11/13	18-58	29	37	37	26	36	37	4.15
2569	2020/11/13	4-19	31	40	42	28	38	42	4.15
2570	2020/11/13	9-19	31	42	45	28	38	45	4.15
2571	2020/11/13	19-15	28	36	37	25	35	37	4.15
2572	2020/11/13	19-20	30	38	40	26	37	40	4.15
2573	2020/11/13	19-26	31	43	44	28	39	44	4.15
2574	2020/11/13	19-31	31	39	42	28	37	42	4.15
2575	2020/11/13	19-37	29	40	44	26	38	44	4.15
2576	2020/11/13	19-42	26	37	42	25	36	42	4.15
2577	2020/11/13	19-48	30	39	43	26	37	43	4.15
2578	2020/11/13	19-53	32	40	40	28	38	40	4.15
2579	2020/11/13	19-59	29	38	42	26	37	42	4.15
2580	2020/11/13	4-20	30	40	42	26	38	42	4.15
2581	2020/11/13	10-20	34	42	43	29	38	43	4.15
2582	2020/11/13	20-15	31	42	44	28	38	44	4.15
2583	2020/11/13	20-21	31	40	43	28	38	43	4.15
2584	2020/11/13	20-27	30	41	44	26	38	44	4.15
2585	2020/11/13	20-32	29	39	39	26	37	39	4.15
2586	2020/11/13	20-38	30	41	42	26	38	42	4.15
2587	2020/11/13	20-43	30	42	45	26	38	45	4.15
2588	2020/11/13	20-49	30	39	39	27	37	39	4.15
2589	2020/11/13	20-54	26	37	39	25	36	39	4.15
2590	2020/11/13	21-0	30	42	44	26	38	44	4.15
2591	2020/11/13	5-21	29	41	45	27	38	45	4.15
2592	2020/11/13	11-21	29	39	43	27	37	43	4.15
2593	2020/11/13	21-16	28	39	42	25	37	42	4.15
2594	2020/11/13	21-22	27	37	38	25	36	38	4.15
2595	2020/11/13	21-27	27	38	41	25	37	41	4.15
2596	2020/11/13	21-33	21	29	30	21	29	30	4.15
2597	2020/11/13	21-38	27	40	41	25	37	41	4.15
2598	2020/11/13	21-44	25	36	38	24	35	38	4.15
2599	2020/11/13	21-49	28	38	41	25	37	41	4.15
2600	2020/11/13	21-55	25	35	37	24	35	37	4.15
2601	2020/11/13	22-0	27	35	37	25	35	37	4.15
2602	2020/11/13	6-22	23	31	37	23	31	37	4.15
2603	2020/11/13	11-22	25	36	37	24	35	37	4.15
2604	2020/11/13	22-17	25	35	38	24	35	38	4.15
2605	2020/11/13	22-22	25	36	37	24	35	37	4.15
2606	2020/11/13	22-28	26	35	37	25	35	37	4.15
2607	2020/11/13	22-33	21	29	32	21	29	32	4.15
2608	2020/11/13	22-39	19	28	30	19	28	30	4.15
2609	2020/11/13	22-44	18	25	28	18	25	28	4.15
2610	2020/11/13	22-50	15	22	24	15	22	24	4.15
2611	2020/11/13	22-55	35	42	44	30	39	44	4.15
2612	2020/11/13	1-23	25	32	33	24	32	33	4.15
2613	2020/11/13	6-23	23	32	34	23	32	34	4.15
2614	2020/11/13	12-23	25	33	34	24	33	34	4.15
2615	2020/11/13	23-17	16	22	24	16	22	24	4.15
2616	2020/11/13	23-23	12	20	21	12	20	21	4.15
2617	2020/11/13	23-28	17	23	25	17	23	25	4.15
2618	2020/11/13	23-34	21	31	33	21	31	33	4.15
2619	2020/11/13	23-39	19	28	30	19	28	30	4.15
2620	2020/11/13	23-45	22	31	33	22	31	33	4.15
2621	2020/11/13	23-50	29	37	38	25	36	38	4.15
2622	2020/11/13	23-56	25	32	33	24	32	33	4.15
2623	2020/11/14	0-1	21	29	32	21	29	32	4.15
2624	2020/11/14	0-7	30	37	38	27	36	38	4.15
2625	2020/11/14	0-12	20	28	30	20	28	30	4.15
2626	2020/11/14	0-18	21	29	30	21	29	30	4.15
2627	2020/11/14	0-23	22	32	34	22	32	34	4.15
2628	2020/11/14	0-29	24	32	34	23	32	34	4.15
2629	2020/11/14	0-34	17	25	26	17	25	26	4.15
2630	2020/11/14	0-40	17	25	29	17	25	29	4.15
2631	2020/11/14	0-45	15	22	24	15	22	24	4.15
2632	2020/11/14	0-51	23	31	32	22	31	32	4.15
2633	2020/11/14	0-56	26	33	33	24	33	33	4.15
2634	2020/11/14	1-2	29	36	41	25	35	41	4.15
2635	2020/11/14	1-7	26	34	36	24	33	36	4.15
2636	2020/11/14	1-13	26	33	34	24	33	34	4.15
2637	2020/11/14	1-18	23	31	34	22	31	34	4.15
2638	2020/11/14	1-24	21	29	30	21	29	30	4.15
2639	2020/11/14	1-29	21	30	31	21	30	31	4.15
2640	2020/11/14	1-35	21	27	28	21	27	28	4.15
2641	2020/11/14	1-40	31	40	45	27	37	45	4.15
2642	2020/11/14	1-46	30	37	39	27	36	39	4.15
2643	2020/11/14	1-51	24	32	35	23	32	35	4.15
2644	2020/11/14	1-57	22	30	32	22	30	32	4.15
2645	2020/11/14	2-2	29	37	38	25	36	38	4.15
2646	2020/11/14	2-8	17	27	28	17	27	28	4.15
2647	2020/11/14	2-13	17	23	24	17	23	24	4.15
2648	2020/11/14	2-19	17	26	27	17	26	27	4.15
2649	2020/11/14	2-24	20	28	29	20	28	29	4.15
2650	2020/11/14	2-30	15	25	26	15	25	26	4.15
2651	2020/11/14	2-35	26	35	36	24	34	36	4.15
2652	2020/11/14	2-41	15	25	26	15	25	26	4.15
2653	2020/11/14	2-46	17	25	27	17	25	27	4.15
2654	2020/11/14	2-52	18	26	27	18	26	27	4.15
2655	2020/11/14	2-57	18	29	33	18	29	33	4.15
2656	2020/11/14	3-3	17	27	28	17	27	28	4.15
2657	2020/11/14	3-8	15	25	27	15	25	27	4.15
2658	2020/11/14	3-14	19	29	29	19	29	29	4.15
2659	2020/11/14	3-19	28	36	39	26	35	39	4.15
2660	2020/11/14	3-25	29	37	39	26	36	39	4.15
2661	2020/11/14	3-30	23	31	33	22	31	33	4.15
2662	2020/11/14	3-36	14	23	25	14	23	25	4.15
2663	2020/11/14	3-41	17	27	29	17	27	29	4.15
2664	2020/11/14	3-47	14	24	25	14	24	25	4.15
2665	2020/11/14	3-52	19	28	29	19	28	29	4.15
2666	2020/11/14	3-58	19	28	33	19	28	33	4.15
2667	2020/11/14	4-3	21	32	34	21	32	34	4.15
2668	2020/11/14	4-9	19	30	37	19	30	37	4.15
2669	2020/11/14	4-14	20	32	32	20	32	32	4.15
2670	2020/11/14	4-20	22	30	32	22	30	32	4.15
2671	2020/11/14	4-25	20	28	30	20	28	30	4.15
2672	2020/11/14	4-31	22	33	34	22	33	34	4.15
2673	2020/11/14	4-36	22	34	36	22	34	36	4.15
2674	2020/11/14	4-42	24	36	36	22	35	36	4.15
2675	2020/11/14	4-47	25	34	36	24	34	36	4.15
2676	2020/11/14	4-53	27	35	37	25	34	37	4.15
2677	2020/11/14	4-58	26	37	37	25	36	37	4.15
2678	2020/11/14	5-4	27	37	42	25	36	42	4.15
2679	2020/11/14	5-9	26	36	40	25	35	40	4.15
2680	2020/11/14	5-15	32	45	47	27	41	47	4.15
2681	2020/11/14	5-20	27	35	39	25	34	39	4.15
2682	2020/11/14	5-26	28	41	41	26	37	41	4.15
2683	2020/11/14	5-31	29	42	47	26	39	47	4.15
2684	2020/11/14	5-37	28	42	45	26	39	45	4.15
2685	2020/11/14	5-42	31	44	49	27	40	49	4.15
2686	2020/11/14	5-48	31	42	45	27	39	45	4.15
2687	2020/11/14	5-53	31	42	44	27	39	44	4.15
2688	2020/11/14	5-59	32	44	47	27	40	47	4.15
2689	2020/11/14	6-5	33	48	50	28	42	50	4.15
2690	2020/11/14	6-10	35	49	52	29	43	51	4.15
2691	2020/11/14	6-16	39	49	51	32	43	51	4.15
2692	2020/11/14	6-21	44	57	58	34	47	56	4.15
2693	2020/11/14	6-27	42	51	54	33	44	52	4.15
2694	2020/11/14	6-32	40	49	52	32	43	51	4.15
2695	2020/11/14	6-38	44	56	58	34	47	56	4.15
2696	2020/11/14	6-43	42	51	52	33	44	51	4.15
2697	2020/11/14	6-49	48	58	58	35	48	56	4.15
2698	2020/11/14	6-54	42	51	52	33	44	51	4.15
2699	2020/11/14	7-0	43	56	58	33	47	56	4.15
2700	2020/11/14	7-5	38	51	55	31	44	54	4.15
2701	2020/11/14	7-11	42	52	56	33	44	54	4.15
2702	2020/11/14	7-16	34	46	48	29	41	48	4.15
2703	2020/11/14	7-22	34	43	44	29	40	44	4.15
2704	2020/11/14	7-27	28	41	47	26	37	47	4.15
2705	2020/11/14	7-33	33	46	50	28	41	50	4.15
2706	2020/11/14	7-38	25	36	41	24	35	41	4.15
2707	2020/11/14	7-44	33	46	47	28	41	47	4.15
2708	2020/11/14	7-49	31	43	46	27	40	46	4.15
2709	2020/11/14	7-55	25	39	40	24	36	40	4.15
2710	2020/11/14	8-0	37	49	49	31	43	49	4.15
2711	2020/11/14	8-6	44	56	58	34	47	56	4.15
2712	2020/11/14	8-11	47	58	62	35	48	57	4.15
2713	2020/11/14	8-17	47	56	58	35	47	56	4.15
2714	2020/11/14	8-22	47	57	61	35	47	57	4.15
2715	2020/11/14	8-28	42	59	63	33	48	58	4.15
2716	2020/11/14	8-33	41	57	59	32	47	56	4.15
2717	2020/11/14	8-39	44	57	60	34	47	57	4.15
2718	2020/11/14	8-44	51	64	65	36	50	59	4.15
2719	2020/11/14	8-50	51	64	66	36	50	60	4.15
2720	2020/11/14	8-55	51	65	70	36	50	63	4.15
2721	2020/11/14	9-1	55	69	73	38	52	64	4.15
2722	2020/11/14	9-6	57	72	79	39	54	67	4.15
2723	2020/11/14	9-12	51	69	74	36	52	65	4.15
2724	2020/11/14	9-17	39	56	61	32	47	57	4.15
2725	2020/11/14	9-23	50	66	70	36	51	63	4.15
2726	2020/11/14	9-28	50	65	70	36	50	63	4.15
2727	2020/11/14	9-34	54	71	75	38	53	65	4.15
2728	2020/11/14	9-39	54	73	78	38	54	66	4.15
2729	2020/11/14	9-45	50	65	66	36	50	61	4.15
2730	2020/11/14	9-50	54	69	72	38	53	64	4.15
2731	2020/11/14	9-56	56	70	72	39	52	64	4.15
2732	2020/11/14	10-1	54	75	77	38	55	66	4.15
2733	2020/11/14	10-7	51	68	71	36	51	63	4.15
2734	2020/11/14	10-12	45	61	63	34	49	58	4.15
2735	2020/11/14	10-18	47	64	65	35	50	60	4.15
2736	2020/11/14	10-23	33	44	51	28	40	51	4.15
2737	2020/11/14	10-29	43	60	61	33	48	57	4.15
2738	2020/11/14	10-34	49	67	71	35	52	63	4.15
2739	2020/11/14	10-40	48	61	64	35	49	60	4.15
2740	2020/11/14	10-45	30	45	48	26	40	48	4.15
2741	2020/11/14	10-51	31	46	48	27	41	48	4.15
2742	2020/11/14	10-56	31	45	47	27	40	47	4.15
2743	2020/11/14	11-2	30	49	54	26	43	53	4.15
2744	2020/11/14	11-7	34	51	55	30	45	54	4.15
2745	2020/11/14	11-13	34	49	54	30	43	53	4.15
2746	2020/11/14	11-18	31	45	52	27	40	52	4.15
2747	2020/11/14	11-24	30	46	47	26	41	47	4.15
2748	2020/11/14	11-29	50	65	68	36	50	61	4.15
2749	2020/11/14	11-35	40	57	61	32	47	57	4.15
2750	2020/11/14	11-40	52	69	73	38	52	64	4.15
2751	2020/11/14	11-46	51	67	70	36	51	63	4.15
2752	2020/11/14	11-51	45	57	62	34	47	57	4.15
2753	2020/11/14	11-57	39	50	55	32	43	54	4.15
2754	2020/11/14	12-2	40	55	59	32	45	56	4.15
2755	2020/11/14	12-8	40	54	57	32	45	55	4.15
2756	2020/11/14	12-13	43	56	58	33	47	56	4.15
2757	2020/11/14	12-19	51	68	71	36	52	63	4.15
2758	2020/11/14	12-24	49	67	71	35	51	63	4.15
2759	2020/11/14	12-30	36	51	58	31	44	56	4.15
2760	2020/11/14	12-35	43	58	58	33	48	56	4.15
2761	2020/11/14	12-41	44	57	62	34	47	57	4.15
2762	2020/11/14	12-46	40	55	58	32	45	56	4.15
2763	2020/11/14	12-52	27	41	45	25	37	45	4.15
2764	2020/11/14	12-57	39	48	52	31	43	51	4.15
2765	2020/11/14	3-13	29	43	44	26	39	44	4.15
2766	2020/11/14	8-13	47	58	61	35	47	57	4.15
2767	2020/11/14	13-14	42	53	55	33	45	53	4.15
2768	2020/11/14	13-19	41	52	53	31	44	52	4.15
2769	2020/11/14	13-25	40	52	53	32	44	52	4.15
2770	2020/11/14	13-30	33	45	47	28	41	47	4.15
2771	2020/11/14	13-36	34	49	50	29	43	50	4.15
2772	2020/11/14	13-41	35	50	52	29	43	51	4.15
2773	2020/11/14	13-47	37	50	52	30	43	51	4.15
2774	2020/11/14	13-52	35	47	49	29	42	49	4.15
2775	2020/11/14	13-58	41	51	52	31	44	51	4.15
2776	2020/11/14	3-14	38	50	53	31	43	52	4.15
2777	2020/11/14	9-14	29	39	43	26	37	43	4.15
2778	2020/11/14	14-14	30	43	45	27	39	45	4.15
2779	2020/11/14	14-20	42	59	61	33	47	57	4.15
2780	2020/11/14	14-25	46	62	65	35	50	59	4.15
2781	2020/11/14	14-31	37	51	55	31	44	54	4.15
2782	2020/11/14	14-36	41	51	55	32	44	54	4.15
2783	2020/11/14	14-42	42	55	59	33	45	56	4.15
2784	2020/11/14	14-48	45	62	63	34	49	58	4.15
2785	2020/11/14	14-53	48	60	67	35	49	60	4.15
2786	2020/11/14	14-59	56	66	70	39	51	63	4.15
2787	2020/11/14	4-15	52	64	68	37	50	62	4.15
2788	2020/11/14	10-15	48	59	65	35	48	59	4.15
2789	2020/11/14	15-15	42	58	62	33	48	57	4.15
2790	2020/11/14	15-21	33	45	51	28	41	51	4.15
2791	2020/11/14	15-26	40	52	58	32	44	56	4.15
2792	2020/11/14	15-32	42	56	59	33	47	56	4.15
2793	2020/11/14	15-37	36	53	58	30	45	56	4.15
2794	2020/11/14	15-43	44	60	61	34	48	56	4.15
2795	2020/11/14	15-48	30	45	47	27	41	47	4.15
2796	2020/11/14	15-54	36	50	53	30	43	52	4.15
2797	2020/11/14	15-59	35	50	52	29	43	51	4.15
2798	2020/11/14	5-16	35	46	48	30	40	48	4.15
2799	2020/11/14	10-16	47	60	63	34	48	58	4.15
2800	2020/11/14	16-16	37	47	53	30	41	52	4.15
2801	2020/11/14	16-21	37	48	50	30	42	50	4.15
2802	2020/11/14	16-27	32	47	50	28	41	50	4.15
2803	2020/11/14	16-32	37	48	50	30	42	50	4.15
2804	2020/11/14	16-38	39	51	53	31	43	52	4.15
2805	2020/11/14	16-43	41	53	54	32	44	52	4.15
2806	2020/11/14	16-49	50	59	63	36	48	58	4.15
2807	2020/11/14	16-54	40	57	61	31	47	57	4.15
2808	2020/11/14	17-0	34	48	52	29	42	51	4.15
2809	2020/11/14	5-17	37	55	57	30	46	55	4.15
2810	2020/11/14	11-17	56	70	74	38	51	64	4.15
2811	2020/11/14	17-16	42	61	64	32	48	59	4.15
2812	2020/11/14	17-22	41	58	63	31	47	59	4.15
2813	2020/11/14	17-27	43	62	64	33	50	59	4.15
2814	2020/11/14	17-33	41	60	65	32	48	60	4.15
2815	2020/11/14	17-38	46	67	77	35	51	66	4.15
2816	2020/11/14	17-44	43	62	65	33	50	59	4.15
2817	2020/11/14	17-49	42	63	66	33	50	60	4.15
2818	2020/11/14	17-55	52	70	78	37	52	67	4.15
2819	2020/11/14	18-0	44	64	68	34	50	62	4.15
2820	2020/11/14	6-18	47	70	74	35	52	65	4.15
2821	2020/11/14	11-18	55	72	77	37	54	66	4.15
2822	2020/11/14	18-17	67	87	95	44	59	75	4.15
2823	2020/11/14	18-22	40	60	65	32	49	59	4.15
2824	2020/11/14	18-28	57	80	94	39	57	75	4.15
2825	2020/11/14	18-33	53	76	81	38	55	69	4.15
2826	2020/11/14	18-39	48	65	76	35	50	65	4.15
2827	2020/11/14	18-44	41	62	67	32	49	60	4.15
2828	2020/11/14	18-50	43	63	70	33	50	63	4.15
2829	2020/11/14	18-55	40	56	58	32	47	56	4.15
2830	2020/11/14	1-19	36	58	60	31	48	57	4.15
2831	2020/11/14	6-19	39	62	65	32	49	59	4.15
2832	2020/11/14	12-19	40	60	65	32	49	59	4.15
2833	2020/11/14	19-17	40	65	72	32	50	64	4.15
2834	2020/11/14	19-23	42	61	62	33	49	57	4.15
2835	2020/11/14	19-28	38	58	67	31	48	61	4.15
2836	2020/11/14	19-34	38	57	62	31	47	57	4.15
2837	2020/11/14	19-39	39	62	70	32	49	63	4.15
2838	2020/11/14	19-45	40	58	63	32	48	58	4.15
2839	2020/11/14	19-50	38	62	67	31	49	61	4.15
2840	2020/11/14	19-56	35	51	57	30	45	55	4.15
2841	2020/11/14	1-20	40	58	62	32	48	57	4.15
2842	2020/11/14	7-20	42	64	70	33	50	63	4.15
2843	2020/11/14	12-20	39	61	68	32	49	61	4.15
2844	2020/11/14	20-18	38	57	60	31	47	56	4.15
2845	2020/11/14	20-23	36	57	65	31	47	59	4.15
2846	2020/11/14	20-29	38	57	64	31	47	59	4.15
2847	2020/11/14	20-34	36	55	58	31	46	56	4.15
2848	2020/11/14	20-40	52	74	78	37	54	67	4.15
2849	2020/11/14	20-45	39	61	65	32	49	59	4.15
2850	2020/11/14	20-51	52	73	77	37	54	66	4.15
2851	2020/11/14	20-56	42	61	68	33	49	61	4.15
2852	2020/11/14	2-21	43	62	68	33	50	61	4.15
2853	2020/11/14	7-21	52	70	74	37	52	64	4.15
2854	2020/11/14	21-13	43	59	60	33	47	56	4.15
2855	2020/11/14	21-18	41	66	74	31	51	64	4.15
2856	2020/11/14	21-24	36	59	70	30	47	62	4.15
2857	2020/11/14	21-29	51	69	75	36	52	64	4.15
2858	2020/11/14	21-35	47	65	73	35	51	64	4.15
2859	2020/11/14	21-40	50	70	71	36	52	63	4.15
2860	2020/11/14	21-46	48	70	77	35	52	66	4.15
2861	2020/11/14	21-51	40	61	68	31	48	61	4.15
2862	2020/11/14	21-57	46	68	72	35	52	63	4.15
2863	2020/11/14	2-22	51	74	78	36	54	67	4.15
2864	2020/11/14	8-22	47	71	78	35	53	67	4.15
2865	2020/11/14	22-13	47	68	74	35	52	64	4.15
2866	2020/11/14	22-19	53	73	80	37	54	68	4.15
2867	2020/11/14	22-24	52	82	92	37	56	74	4.15
2868	2020/11/14	22-30	51	72	77	37	53	66	4.15
2869	2020/11/14	22-35	49	67	71	35	51	62	4.15
2870	2020/11/14	22-41	44	64	68	34	50	61	4.15
2871	2020/11/14	22-46	55	77	83	38	55	70	4.15
2872	2020/11/14	22-52	39	61	64	31	48	58	4.15
2873	2020/11/14	22-57	51	70	72	37	51	63	4.15
2874	2020/11/14	3-23	49	66	68	36	50	61	4.15
2875	2020/11/14	8-23	42	62	74	32	49	64	4.15
2876	2020/11/14	23-14	35	53	57	30	44	54	4.15
2877	2020/11/14	23-19	35	56	59	30	46	56	4.15
2878	2020/11/14	23-25	33	50	55	29	43	53	4.15
2879	2020/11/14	23-31	34	51	56	28	43	54	4.15
2880	2020/11/14	23-36	31	51	57	26	43	54	4.15
2881	2020/11/14	23-42	42	58	64	32	47	58	4.15
2882	2020/11/14	23-47	45	64	68	34	49	60	4.15
2883	2020/11/14	23-53	33	54	61	28	45	56	4.15
2884	2020/11/14	23-58	42	60	64	32	47	58	4.15
2885	2020/11/15	0-4	34	58	67	28	47	60	4.15
2886	2020/11/15	0-9	41	62	64	32	48	58	4.15
2887	2020/11/15	0-15	35	53	57	29	45	53	4.15
2888	2020/11/15	0-20	41	63	67	32	48	61	4.15
2889	2020/11/15	0-26	50	70	76	36	51	65	4.15
2890	2020/11/15	0-31	42	62	67	32	48	60	4.15
2891	2020/11/15	0-37	41	63	68	31	49	60	4.15
2892	2020/11/15	0-42	38	60	67	30	48	60	4.15
2893	2020/11/15	0-48	41	61	70	31	48	61	4.15
2894	2020/11/15	0-53	49	75	81	35	54	68	4.15
2895	2020/11/15	0-59	43	69	78	32	51	65	4.15
2896	2020/11/15	1-4	50	73	80	36	52	67	4.15
2897	2020/11/15	1-10	44	69	78	33	51	66	4.15
2898	2020/11/15	1-15	46	72	74	34	53	64	4.15
2899	2020/11/15	1-21	39	65	69	30	49	61	4.15
2900	2020/11/15	1-26	39	65	70	31	50	62	4.15
2901	2020/11/15	1-32	49	71	79	35	52	66	4.15
2902	2020/11/15	1-37	50	71	81	35	52	68	4.15
2903	2020/11/15	1-43	46	68	73	34	51	63	4.15
2904	2020/11/15	1-48	43	66	72	33	50	63	4.15
2905	2020/11/15	1-54	47	71	76	34	52	64	4.15
2906	2020/11/15	1-59	39	62	69	31	49	61	4.15
2907	2020/11/15	2-5	40	65	71	31	50	62	4.15
2908	2020/11/15	2-10	44	67	75	33	51	65	4.15
2909	2020/11/15	2-16	40	65	78	31	50	67	4.15
2910	2020/11/15	2-21	40	63	72	31	49	63	4.15
2911	2020/11/15	2-27	43	69	76	33	51	65	4.15
2912	2020/11/15	2-32	41	62	68	32	49	61	4.15
2913	2020/11/15	2-38	45	67	76	34	51	64	4.15
2914	2020/11/15	2-43	45	67	72	33	51	63	4.15
2915	2020/11/15	2-49	41	68	73	32	51	63	4.15
2916	2020/11/15	2-54	47	73	81	34	54	68	4.15
2917	2020/11/15	3-0	45	70	78	34	52	67	4.15
2918	2020/11/15	3-5	47	70	78	34	52	67	4.15
2919	2020/11/15	3-11	45	65	72	33	50	63	4.15
2920	2020/11/15	3-16	45	68	78	34	51	67	4.15
2921	2020/11/15	3-22	44	70	81	33	52	68	4.15
2922	2020/11/15	3-27	46	65	75	34	50	65	4.15
2923	2020/11/15	3-33	45	70	72	33	51	63	4.15
2924	2020/11/15	3-38	44	70	80	33	52	68	4.15
2925	2020/11/15	3-44	44	70	76	33	52	65	4.15
2926	2020/11/15	3-49	46	66	73	34	50	64	4.15
2927	2020/11/15	3-55	46	76	79	35	54	68	4.15
2928	2020/11/15	4-0	49	79	84	36	56	70	4.15
2929	2020/11/15	4-6	47	71	78	35	53	66	4.15
2930	2020/11/15	4-11	56	84	96	38	57	75	4.15
2931	2020/11/15	4-17	55	81	90	37	56	72	4.15
2932	2020/11/15	4-22	55	78	86	37	55	70	4.15
2933	2020/11/15	4-28	49	72	79	35	53	67	4.15
2934	2020/11/15	4-33	48	73	80	35	54	67	4.15
2935	2020/11/15	4-39	46	75	78	35	54	66	4.15
2936	2020/11/15	4-44	48	73	85	34	53	69	4.15
2937	2020/11/15	4-50	46	72	80	35	53	68	4.15
2938	2020/11/15	4-55	50	75	79	36	54	68	4.15
2939	2020/11/15	5-1	51	76	81	36	54	69	4.15
2940	2020/11/15	5-6	46	76	83	35	54	69	4.15
2941	2020/11/15	5-12	52	81	87	37	56	71	4.15
2942	2020/11/15	5-17	54	77	89	37	55	72	4.15
2943	2020/11/15	5-23	62	87	93	40	59	73	4.15
2944	2020/11/15	5-28	50	79	84	36	56	70	4.15
2945	2020/11/15	5-34	50	78	86	36	55	70	4.15
2946	2020/11/15	5-39	52	78	88	37	55	71	4.15
2947	2020/11/15	5-45	54	88	99	37	59	76	4.15
2948	2020/11/15	5-50	53	82	87	37	56	71	4.15
2949	2020/11/15	5-56	53	79	86	37	56	70	4.15
2950	2020/11/15	6-1	53	78	80	37	55	68	4.15
2951	2020/11/15	6-7	52	77	85	37	55	70	4.15
2952	2020/11/15	6-12	51	80	93	36	56	74	4.15
2953	2020/11/15	6-18	51	78	88	36	55	71	4.15
2954	2020/11/15	6-23	57	86	94	38	59	75	4.15
2955	2020/11/15	6-29	54	84	91	37	58	72	4.15
2956	2020/11/15	6-34	52	84	96	37	58	76	4.15
2957	2020/11/15	6-40	59	93	104	39	61	78	4.15
2958	2020/11/15	6-45	54	82	88	37	56	71	4.15
2959	2020/11/15	6-51	53	81	90	37	56	72	4.15
2960	2020/11/15	6-56	50	78	87	37	56	70	4.15
2961	2020/11/15	7-2	50	78	85	36	55	70	4.15
2962	2020/11/15	7-7	50	76	86	36	54	70	4.15
2963	2020/11/15	7-13	51	77	80	36	55	68	4.15
2964	2020/11/15	7-18	48	72	79	35	53	68	4.15
2965	2020/11/15	7-24	46	71	80	35	53	68	4.15
2966	2020/11/15	7-29	48	74	79	35	54	68	4.15
2967	2020/11/15	7-35	47	71	75	35	53	64	4.15
2968	2020/11/15	7-40	54	86	96	37	59	76	4.15
2969	2020/11/15	7-46	47	75	83	35	54	69	4.15
2970	2020/11/15	7-51	51	75	80	36	54	68	4.15
2971	2020/11/15	7-57	53	79	85	37	56	70	4.15
2972	2020/11/15	8-2	46	70	77	35	52	66	4.15
2973	2020/11/15	8-8	46	71	78	35	53	66	4.15
2974	2020/11/15	8-13	44	65	69	33	50	62	4.15
2975	2020/11/15	8-19	43	69	78	33	52	67	4.15
2976	2020/11/15	8-25	42	72	82	33	53	69	4.15
2977	2020/11/15	8-30	40	61	63	31	48	58	4.15
2978	2020/11/15	8-36	42	63	71	33	50	63	4.15
